Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login - TS,Chrome 91.0.4472.114,,,2021-06-22 19:56:40,2021-06-22 19:56:58,18.002s,PASSED
,,,,,,,
Test Cases/online tutorial/login HRM,Chrome 91.0.4472.114,,,2021-06-22 19:56:41,2021-06-22 19:56:58,17.387s,PASSED
"openBrowser("""")",Chrome 91.0.4472.114,,,2021-06-22 19:56:42,2021-06-22 19:56:46,4.457s,PASSED
maximizeWindow(),Chrome 91.0.4472.114,,,2021-06-22 19:56:46,2021-06-22 19:56:46,0.180s,PASSED
"navigateToUrl(""https://mosajgohar-trials71.orangehrmlive.com/auth/login"")",Chrome 91.0.4472.114,,,2021-06-22 19:56:46,2021-06-22 19:56:49,2.621s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/span_Username""))",Chrome 91.0.4472.114,,,2021-06-22 19:56:49,2021-06-22 19:56:49,0.566s,PASSED
takeScreenshot(),Chrome 91.0.4472.114,,,2021-06-22 19:56:49,2021-06-22 19:56:50,0.529s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), findTestData(""OrangeHRM/Login credentials"").getValue(1, 1))",Chrome 91.0.4472.114,,,2021-06-22 19:56:50,2021-06-22 19:56:52,1.534s,PASSED
"setText(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Username_txtPassword""), findTestData(""OrangeHRM/Login credentials"").getValue(2, 1))",Chrome 91.0.4472.114,,,2021-06-22 19:56:52,2021-06-22 19:56:52,0.624s,PASSED
"click(findTestObject(""Object Repository/Orange HRM Login/Page_OrangeHRM/input_Password_Submit""))",Chrome 91.0.4472.114,,,2021-06-22 19:56:52,2021-06-22 19:56:58,6.136s,PASSED
